territory,indicator,year,value,unit,source,data_level,last_updated
Kalimantan Utara,Electrification ratio,2024,99.99,%,"Indonesia Ministry of Energy and Mineral Resources (ESDM), Electricity Statistics 2024, Table 7, printed page 9; PLN + non-PLN households",province,2026-09-05
Kalimantan,Electrification ratio,2024,99.65,%,"Derived from ESDM Electricity Statistics 2024 Table 7: household-weighted (5264705 electrified / 5283206 total), official PDF https://gatrik.esdm.go.id/assets/uploads/download_index/files/91fa8-buku-statistik-ketenagalistrikan-2024.pdf",territory,2026-09-05
Kalimantan Barat,Population,2025,5766000,people,"Statistics Indonesia (BPS), Statistics Indonesia 2025, Table 3.1.1, Population (thousand), 2025 column",province,2026-09-05
Kalimantan Tengah,Population,2025,2845000,people,"Statistics Indonesia (BPS), Statistics Indonesia 2025, Table 3.1.1, Population (thousand), 2025 column",province,2026-09-05
Kalimantan Selatan,Population,2025,4323300,people,"Statistics Indonesia (BPS), Statistics Indonesia 2025, Table 3.1.1, Population (thousand), 2025 column",province,2026-09-05
Kalimantan Timur,Population,2025,4267600,people,"Statistics Indonesia (BPS), Statistics Indonesia 2025, Table 3.1.1, Population (thousand), 2025 column",province,2026-09-05
Kalimantan Utara,Population,2025,749400,people,"Statistics Indonesia (BPS), Statistics Indonesia 2025, Table 3.1.1, Population (thousand), 2025 column",province,2026-09-05
Kalimantan,Population,2025,17951300,people,"Derived sum of all 5 provinces from Statistics Indonesia (BPS), Statistics Indonesia 2025, Table 3.1.1",territory,2026-09-05
Brunei,Households,2021,87137,households,DEPS Brunei Population & Housing Census 2021,national,2026-09-05
Kalimantan,Unemployment rate,2025,4.35,%,"BPS Indonesia (unweighted mean of 5/5 provinces, approx)",territory,2026-09-05
Kalimantan,Mean years schooling (RLS),2025,9.08,years,"BPS Indonesia (unweighted mean of 5/5 provinces, approx)",territory,2026-09-05
Kalimantan,GDP growth (PDRB),2025,4.53,%,"BPS Indonesia (unweighted mean of 1/5 provinces, approx)",territory,2026-09-05
Kalimantan,Crop production (paddy),2025,1398669.08,tonnes,BPS Indonesia (sum of 3/5 provinces),territory,2026-09-05
Kalimantan,Tourist trips (domestic),2025,4741336.0,trips,BPS Indonesia (sum of 5/5 provinces),territory,2026-09-05
Kalimantan,Life expectancy,2024,71.89,years,"BPS Indonesia (unweighted mean of 4/5 provinces, approx)",territory,2026-09-05
Kalimantan,Poverty rate (P0),2025,4.73,%,"BPS Indonesia (unweighted mean of 3/5 provinces, approx)",territory,2026-09-05
