# fetched=2026-07-09
Country,Continent,ISO_Code,Level,GDLCODE,Region,Year,msch
Indonesia,Asia/Pacific,IDN,Subnat,IDNr121,"Central Kalimantan",1992,4.185
Indonesia,Asia/Pacific,IDN,Subnat,IDNr121,"Central Kalimantan",1993,4.488
Indonesia,Asia/Pacific,IDN,Subnat,IDNr121,"Central Kalimantan",1994,4.792
Indonesia,Asia/Pacific,IDN,Subnat,IDNr121,"Central Kalimantan",1995,5.095
Indonesia,Asia/Pacific,IDN,Subnat,IDNr121,"Central Kalimantan",1996,5.399
Indonesia,Asia/Pacific,IDN,Subnat,IDNr121,"Central Kalimantan",1997,5.702
Indonesia,Asia/Pacific,IDN,Subnat,IDNr121,"Central Kalimantan",1998,6.03
Indonesia,Asia/Pacific,IDN,Subnat,IDNr121,"Central Kalimantan",1999,6.36
Indonesia,Asia/Pacific,IDN,Subnat,IDNr121,"Central Kalimantan",2000,6.69
Indonesia,Asia/Pacific,IDN,Subnat,IDNr121,"Central Kalimantan",2001,7.022
Indonesia,Asia/Pacific,IDN,Subnat,IDNr121,"Central Kalimantan",2002,7.354
Indonesia,Asia/Pacific,IDN,Subnat,IDNr121,"Central Kalimantan",2003,7.687
Indonesia,Asia/Pacific,IDN,Subnat,IDNr121,"Central Kalimantan",2004,7.987
Indonesia,Asia/Pacific,IDN,Subnat,IDNr121,"Central Kalimantan",2005,8.287
Indonesia,Asia/Pacific,IDN,Subnat,IDNr121,"Central Kalimantan",2006,8.586
Indonesia,Asia/Pacific,IDN,Subnat,IDNr121,"Central Kalimantan",2007,7.932
Indonesia,Asia/Pacific,IDN,Subnat,IDNr121,"Central Kalimantan",2008,7.813
Indonesia,Asia/Pacific,IDN,Subnat,IDNr121,"Central Kalimantan",2009,7.903
Indonesia,Asia/Pacific,IDN,Subnat,IDNr121,"Central Kalimantan",2010,7.841
Indonesia,Asia/Pacific,IDN,Subnat,IDNr121,"Central Kalimantan",2011,7.78
Indonesia,Asia/Pacific,IDN,Subnat,IDNr121,"Central Kalimantan",2012,7.718
Indonesia,Asia/Pacific,IDN,Subnat,IDNr121,"Central Kalimantan",2013,7.786
Indonesia,Asia/Pacific,IDN,Subnat,IDNr121,"Central Kalimantan",2014,7.854
Indonesia,Asia/Pacific,IDN,Subnat,IDNr121,"Central Kalimantan",2015,7.936
Indonesia,Asia/Pacific,IDN,Subnat,IDNr121,"Central Kalimantan",2016,7.978
Indonesia,Asia/Pacific,IDN,Subnat,IDNr121,"Central Kalimantan",2017,8.209
Indonesia,Asia/Pacific,IDN,Subnat,IDNr121,"Central Kalimantan",2018,8.13
Indonesia,Asia/Pacific,IDN,Subnat,IDNr121,"Central Kalimantan",2019,8.329
Indonesia,Asia/Pacific,IDN,Subnat,IDNr121,"Central Kalimantan",2020,8.528
Indonesia,Asia/Pacific,IDN,Subnat,IDNr121,"Central Kalimantan",2021,8.665
Indonesia,Asia/Pacific,IDN,Subnat,IDNr121,"Central Kalimantan",2022,8.665
Indonesia,Asia/Pacific,IDN,Subnat,IDNr121,"Central Kalimantan",2023,8.665
Indonesia,Asia/Pacific,IDN,Subnat,IDNr125,"Central Sulawesi",1990,3.859
Indonesia,Asia/Pacific,IDN,Subnat,IDNr125,"Central Sulawesi",1991,4.187
Indonesia,Asia/Pacific,IDN,Subnat,IDNr125,"Central Sulawesi",1992,4.514
Indonesia,Asia/Pacific,IDN,Subnat,IDNr125,"Central Sulawesi",1993,4.841
Indonesia,Asia/Pacific,IDN,Subnat,IDNr125,"Central Sulawesi",1994,5.169
Indonesia,Asia/Pacific,IDN,Subnat,IDNr125,"Central Sulawesi",1995,5.496
Indonesia,Asia/Pacific,IDN,Subnat,IDNr125,"Central Sulawesi",1996,5.823
Indonesia,Asia/Pacific,IDN,Subnat,IDNr125,"Central Sulawesi",1997,6.151
Indonesia,Asia/Pacific,IDN,Subnat,IDNr125,"Central Sulawesi",1998,6.367
Indonesia,Asia/Pacific,IDN,Subnat,IDNr125,"Central Sulawesi",1999,6.578
Indonesia,Asia/Pacific,IDN,Subnat,IDNr125,"Central Sulawesi",2000,6.785
Indonesia,Asia/Pacific,IDN,Subnat,IDNr125,"Central Sulawesi",2001,6.988
Indonesia,Asia/Pacific,IDN,Subnat,IDNr125,"Central Sulawesi",2002,7.186
Indonesia,Asia/Pacific,IDN,Subnat,IDNr125,"Central Sulawesi",2003,7.381
Indonesia,Asia/Pacific,IDN,Subnat,IDNr125,"Central Sulawesi",2004,7.669
Indonesia,Asia/Pacific,IDN,Subnat,IDNr125,"Central Sulawesi",2005,7.956
Indonesia,Asia/Pacific,IDN,Subnat,IDNr125,"Central Sulawesi",2006,8.243
Indonesia,Asia/Pacific,IDN,Subnat,IDNr125,"Central Sulawesi",2007,7.614
Indonesia,Asia/Pacific,IDN,Subnat,IDNr125,"Central Sulawesi",2008,7.566
Indonesia,Asia/Pacific,IDN,Subnat,IDNr125,"Central Sulawesi",2009,7.721
Indonesia,Asia/Pacific,IDN,Subnat,IDNr125,"Central Sulawesi",2010,7.726
Indonesia,Asia/Pacific,IDN,Subnat,IDNr125,"Central Sulawesi",2011,7.733
Indonesia,Asia/Pacific,IDN,Subnat,IDNr125,"Central Sulawesi",2012,7.738
Indonesia,Asia/Pacific,IDN,Subnat,IDNr125,"Central Sulawesi",2013,7.901
Indonesia,Asia/Pacific,IDN,Subnat,IDNr125,"Central Sulawesi",2014,8.063
Indonesia,Asia/Pacific,IDN,Subnat,IDNr125,"Central Sulawesi",2015,8.24
Indonesia,Asia/Pacific,IDN,Subnat,IDNr125,"Central Sulawesi",2016,8.374
Indonesia,Asia/Pacific,IDN,Subnat,IDNr125,"Central Sulawesi",2017,8.708
Indonesia,Asia/Pacific,IDN,Subnat,IDNr125,"Central Sulawesi",2018,8.623
Indonesia,Asia/Pacific,IDN,Subnat,IDNr125,"Central Sulawesi",2019,8.835
Indonesia,Asia/Pacific,IDN,Subnat,IDNr125,"Central Sulawesi",2020,9.046
Indonesia,Asia/Pacific,IDN,Subnat,IDNr125,"Central Sulawesi",2021,9.191
Indonesia,Asia/Pacific,IDN,Subnat,IDNr125,"Central Sulawesi",2022,9.191
Indonesia,Asia/Pacific,IDN,Subnat,IDNr125,"Central Sulawesi",2023,9.191
Indonesia,Asia/Pacific,IDN,Subnat,IDNr101,"DI Aceh",1990,3.648
